K,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Precision,Recall,Val Loss,Durasi (detik),Delta (Train-Val),Status
3.0,30.0,16.0,0.5,0.8885,0.8736666666666667,0.8817337211410127,0.8736865669633879,0.31196666666666667,915.9566666666666,0.014833333333333254,Seimbang
3.0,30.0,16.0,0.3,0.8928333333333334,0.8697666666666667,0.8808773307315354,0.8697732149073891,0.3154666666666667,915.8166666666666,0.02306666666666668,Seimbang
3.0,30.0,32.0,0.2,0.8845333333333333,0.8643333333333333,0.8767331826373619,0.8643304295592801,0.30646666666666667,564.75,0.020199999999999996,Seimbang
3.0,30.0,64.0,0.3,0.8746999999999999,0.8634666666666666,0.877292547356752,0.8634698738227105,0.3151,886.1433333333333,0.011233333333333317,Seimbang
3.0,30.0,32.0,0.5,0.8794666666666666,0.8599333333333333,0.8784749550936123,0.8599381554860592,0.32536666666666664,564.9966666666666,0.01953333333333329,Seimbang
3.0,30.0,64.0,0.2,0.8734000000000001,0.8596333333333334,0.8745925248246719,0.8596535092857005,0.3338666666666667,832.04,0.013766666666666705,Seimbang
3.0,20.0,16.0,0.2,0.8832333333333334,0.8544,0.8780999717729613,0.8544013357207522,0.3353,563.2433333333333,0.028833333333333377,Seimbang
3.0,20.0,16.0,0.5,0.8766666666666666,0.8523999999999999,0.8767258290094481,0.852396206948561,0.33666666666666667,550.3633333333333,0.02426666666666666,Seimbang
3.0,20.0,32.0,0.5,0.8654333333333334,0.8507666666666668,0.8729496184048419,0.850772329086226,0.34113333333333334,354.4533333333333,0.014666666666666606,Seimbang
3.0,10.0,16.0,0.2,0.8584999999999999,0.8503666666666666,0.867674154787665,0.850391050832835,0.33276666666666666,253.35333333333335,0.008133333333333326,Seimbang
3.0,20.0,64.0,0.5,0.8566666666666666,0.8502000000000001,0.8655773196451753,0.8502004937367446,0.3374333333333333,378.91,0.00646666666666651,Seimbang
3.0,20.0,32.0,0.3,0.8687666666666667,0.8498,0.8697226645601067,0.8498191607962831,0.33853333333333335,349.33666666666664,0.018966666666666687,Seimbang
3.0,30.0,64.0,0.5,0.8713333333333333,0.8491666666666667,0.8722581097247719,0.8491486152851019,0.3461,984.4033333333333,0.022166666666666557,Seimbang
5.0,10.0,16.0,0.3,0.8595999999999999,0.84655,0.8703002857288611,0.8465393794749403,0.34035000000000004,380.90999999999997,0.013049999999999895,Seimbang
3.0,20.0,32.0,0.2,0.8706666666666667,0.8453333333333334,0.8684222879837605,0.8453301179523542,0.34336666666666665,360.0366666666667,0.02533333333333332,Seimbang
3.0,30.0,32.0,0.3,0.8732000000000001,0.8450333333333333,0.8690774501266615,0.8450460733097676,0.3503333333333334,595.5566666666667,0.028166666666666784,Seimbang
5.0,10.0,16.0,0.2,0.8619,0.84352,0.8687466149531134,0.8435139835830524,0.35074,386.456,0.018379999999999952,Seimbang
3.0,30.0,16.0,0.2,0.8621333333333334,0.8431333333333333,0.8634783955601039,0.8431326000672213,0.3523666666666667,937.9133333333334,0.019000000000000128,Seimbang
3.0,20.0,16.0,0.3,0.8661666666666666,0.8419,0.8656425181010822,0.8418932816824892,0.36846666666666666,538.3266666666667,0.02426666666666666,Seimbang
3.0,10.0,16.0,0.5,0.8540000000000001,0.8413333333333334,0.8630319789305853,0.841322922883903,0.34959999999999997,258.5233333333333,0.012666666666666715,Seimbang
3.0,10.0,32.0,0.3,0.8511000000000001,0.8366333333333333,0.8606111088308485,0.8366440338757962,0.3624666666666667,174.86,0.014466666666666739,Seimbang
3.0,10.0,32.0,0.2,0.8428333333333334,0.8361666666666666,0.8567275578490072,0.836166834501285,0.3617333333333333,184.15666666666667,0.006666666666666821,Seimbang
3.0,20.0,64.0,0.3,0.8462,0.8313,0.8551354108232975,0.8312949821659995,0.37186666666666673,347.82,0.014899999999999913,Seimbang
3.0,10.0,32.0,0.5,0.8402666666666666,0.831,0.858843182307957,0.831010691431597,0.36516666666666664,172.54,0.009266666666666645,Seimbang
3.0,10.0,64.0,0.3,0.8252666666666667,0.8226,0.8438314475041823,0.8226076676303622,0.3807666666666667,162.72,0.002666666666666706,Seimbang
3.0,20.0,64.0,0.2,0.7576999999999999,0.7845333333333334,0.8049248245930826,0.7845253966207109,0.4564333333333333,357.51666666666665,-0.026833333333333487,Seimbang
3.0,10.0,64.0,0.5,0.8094,0.7805,0.8326034505892559,0.7805017680876665,0.4456,162.11333333333334,0.028900000000000037,Seimbang
3.0,10.0,16.0,0.3,0.7553000000000001,0.7644666666666667,0.8329498715703526,0.7644774994971524,0.46426666666666666,274.77,-0.009166666666666656,Seimbang
3.0,10.0,64.0,0.2,0.7286333333333334,0.7056666666666667,0.8040327983532056,0.7056738327509707,0.4915333333333333,165.89,0.02296666666666669,Seimbang
