K,Fold,Epoch,Batch,Dropout,Label,Precision,Recall,F1-Score,Support
3,1,10,16,0.2,asli,0.6972,1.0,0.8216,2434.0
3,1,10,16,0.2,palsu,1.0,0.0009,0.0019,1058.0
3,1,10,16,0.2,asli,0.697,1.0,0.8215,2434.0
3,1,10,16,0.2,palsu,0.0,0.0,0.0,1058.0
3,1,10,16,0.2,asli,0.0,0.0,0.0,2434.0
3,1,10,16,0.2,palsu,0.4999,1.0,0.6666,2433.0
3,1,10,16,0.4,asli,0.9312344656172328,0.923582580115037,0.9273927392739274,2434.0
3,1,10,16,0.4,palsu,0.9241744802282919,0.9317714755445952,0.9279574293900942,2433.0
3,2,10,16,0.4,asli,0.4998972673104582,1.0,0.6665753424657535,2433.0
3,2,10,16,0.4,palsu,0.0,0.0,0.0,2434.0
