K,Fold,Epoch,Batch,Dropout,Confusion_Flat
3,1,10,16,0.2,"[[2027, 407], [103, 955]]"
3,2,10,16,0.2,"[[1981, 452], [134, 924]]"
3,3,10,16,0.2,"[[2106, 327], [166, 892]]"
3,1,10,16,0.3,"[[2093, 341], [137, 921]]"
3,2,10,16,0.3,"[[1855, 578], [132, 926]]"
3,3,10,16,0.3,"[[1911, 522], [435, 623]]"
3,1,10,16,0.5,"[[1942, 492], [97, 961]]"
3,2,10,16,0.5,"[[1902, 531], [102, 956]]"
3,3,10,16,0.5,"[[1964, 469], [98, 960]]"
3,1,10,32,0.2,"[[1956, 478], [96, 962]]"
3,2,10,32,0.2,"[[1770, 663], [98, 960]]"
3,3,10,32,0.2,"[[2021, 412], [158, 900]]"
3,1,10,32,0.3,"[[1889, 545], [90, 968]]"
3,2,10,32,0.3,"[[1937, 496], [118, 940]]"
3,3,10,32,0.3,"[[1966, 467], [132, 926]]"
3,1,10,32,0.5,"[[1983, 451], [131, 927]]"
3,2,10,32,0.5,"[[1927, 506], [124, 934]]"
3,3,10,32,0.5,"[[1546, 887], [124, 934]]"
3,1,10,64,0.2,"[[2003, 431], [139, 919]]"
3,2,10,64,0.2,"[[1967, 466], [204, 854]]"
3,3,10,64,0.2,"[[1958, 475], [205, 853]]"
3,1,10,64,0.3,"[[1935, 499], [115, 943]]"
3,2,10,64,0.3,"[[1989, 444], [239, 819]]"
3,3,10,64,0.3,"[[1966, 467], [201, 857]]"
3,1,10,64,0.5,"[[2081, 353], [240, 818]]"
3,2,10,64,0.5,"[[1865, 568], [164, 894]]"
3,3,10,64,0.5,"[[1899, 534], [196, 862]]"
3,1,20,16,0.2,"[[1967, 467], [73, 985]]"
3,2,20,16,0.2,"[[2036, 397], [115, 943]]"
3,3,20,16,0.2,"[[2240, 193], [232, 826]]"
3,1,20,16,0.3,"[[1995, 439], [84, 974]]"
3,2,20,16,0.3,"[[2149, 284], [187, 871]]"
3,3,20,16,0.3,"[[2110, 323], [145, 913]]"
3,1,20,16,0.5,"[[2017, 417], [86, 972]]"
3,2,20,16,0.5,"[[2082, 351], [147, 911]]"
3,3,20,16,0.5,"[[2149, 284], [156, 902]]"
3,1,20,32,0.2,"[[2092, 342], [129, 929]]"
3,2,20,32,0.2,"[[1973, 460], [109, 949]]"
3,3,20,32,0.2,"[[2069, 364], [122, 936]]"
3,1,20,32,0.3,"[[2001, 433], [102, 956]]"
3,2,20,32,0.3,"[[2028, 405], [124, 934]]"
3,3,20,32,0.3,"[[879, 1554], [150, 908]]"
3,1,20,32,0.5,"[[2041, 393], [122, 936]]"
3,2,20,32,0.5,"[[1952, 481], [150, 908]]"
3,3,20,32,0.5,"[[1976, 457], [92, 966]]"
3,1,20,64,0.2,"[[2064, 370], [131, 927]]"
3,2,20,64,0.2,"[[1924, 509], [106, 952]]"
3,3,20,64,0.2,"[[2012, 421], [127, 931]]"
3,1,20,64,0.3,"[[2006, 428], [94, 964]]"
3,2,20,64,0.3,"[[2015, 418], [145, 913]]"
3,3,20,64,0.3,"[[2107, 326], [185, 873]]"
3,1,20,64,0.5,"[[1890, 544], [78, 980]]"
3,2,20,64,0.5,"[[1892, 541], [114, 944]]"
3,3,20,64,0.5,"[[1993, 440], [134, 924]]"
3,1,30,16,0.2,"[[2103, 331], [117, 941]]"
