K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Train Loss,Val Loss,Durasi (detik)
3.0,1.0,10.0,16.0,0.2,0.6975,0.6959,0.6142,0.6143,519.77
3.0,2.0,10.0,16.0,0.2,0.697,0.6972,0.614,0.6132,229.95
3.0,3.0,10.0,16.0,0.2,0.6967,0.6978,0.615,0.613,328.35
3.0,1.0,10.0,16.0,0.3,0.6975,0.6959,0.6138,0.6168,299.84
3.0,2.0,10.0,16.0,0.3,0.697,0.6972,0.6142,0.6132,279.68
3.0,3.0,10.0,16.0,0.3,0.6967,0.6978,0.6139,0.6215,260.0
3.0,1.0,10.0,16.0,0.5,0.6975,0.6959,0.6147,0.6145,267.69
3.0,2.0,10.0,16.0,0.5,0.697,0.6972,0.6146,0.6141,287.56
3.0,3.0,10.0,16.0,0.5,0.6967,0.6978,0.6151,0.6129,313.19
3.0,1.0,10.0,32.0,0.2,0.6975,0.6959,0.6134,0.6142,267.15
3.0,2.0,10.0,32.0,0.2,0.697,0.6972,0.6143,0.6133,273.03
3.0,3.0,10.0,32.0,0.2,0.6967,0.6978,0.6146,0.6135,208.84
3.0,1.0,10.0,32.0,0.3,0.6975,0.6959,0.6137,0.6144,214.82
3.0,2.0,10.0,32.0,0.3,0.697,0.6972,0.6138,0.6158,196.76
3.0,3.0,10.0,32.0,0.3,0.6967,0.6978,0.6149,0.6129,202.36
3.0,1.0,10.0,32.0,0.5,0.6975,0.6959,0.6139,0.6145,197.56
3.0,2.0,10.0,32.0,0.5,0.697,0.6972,0.6148,0.6132,185.9
3.0,3.0,10.0,32.0,0.5,0.6967,0.6978,0.6155,0.6129,181.01
3.0,1.0,10.0,64.0,0.2,0.6975,0.6962,0.615,0.6155,228.5
3.0,2.0,10.0,64.0,0.2,0.697,0.6972,0.6144,0.6145,249.26
3.0,3.0,10.0,64.0,0.2,0.6967,0.6978,0.6153,0.6128,195.73
3.0,1.0,10.0,64.0,0.3,0.6975,0.6962,0.6137,0.6153,197.98
3.0,2.0,10.0,64.0,0.3,0.697,0.6972,0.6144,0.6132,190.22
3.0,3.0,10.0,64.0,0.3,0.6967,0.6978,0.615,0.6148,197.15
3.0,1.0,10.0,64.0,0.5,0.6975,0.6962,0.6145,0.6142,193.65
3.0,2.0,10.0,64.0,0.5,0.697,0.6972,0.6151,0.6136,192.8
3.0,3.0,10.0,64.0,0.5,0.6967,0.6978,0.615,0.6128,193.38
3.0,1.0,20.0,16.0,0.2,0.6975,0.6959,0.6135,0.6147,599.55
3.0,2.0,20.0,16.0,0.2,0.697,0.6972,0.6133,0.6134,568.1
3.0,3.0,20.0,16.0,0.2,0.6967,0.6978,0.6145,0.6127,613.83
3.0,1.0,20.0,16.0,0.3,0.6975,0.6959,0.6142,0.6143,540.72
3.0,2.0,20.0,16.0,0.3,0.697,0.6972,0.6135,0.6139,575.03
3.0,3.0,20.0,16.0,0.3,0.6967,0.6978,0.6147,0.6127,620.95
3.0,1.0,20.0,16.0,0.5,0.6975,0.6959,0.6139,0.6143,603.87
3.0,2.0,20.0,16.0,0.5,0.697,0.6972,0.6141,0.6132,534.01
3.0,3.0,20.0,16.0,0.5,0.6967,0.6978,0.6145,0.6141,566.68
3.0,1.0,20.0,32.0,0.2,0.6975,0.6959,0.614,0.6148,396.41
3.0,2.0,20.0,32.0,0.2,0.697,0.6972,0.6142,0.6132,456.83
3.0,3.0,20.0,32.0,0.2,0.6967,0.6978,0.6143,0.6128,399.12
3.0,1.0,20.0,32.0,0.3,0.6975,0.6959,0.6139,0.6143,393.64
3.0,2.0,20.0,32.0,0.3,0.697,0.6972,0.6145,0.6132,375.36
3.0,3.0,20.0,32.0,0.3,0.6967,0.6978,0.6145,0.613,378.08
3.0,1.0,20.0,32.0,0.5,0.6975,0.6959,0.6134,0.6148,384.58
3.0,2.0,20.0,32.0,0.5,0.697,0.6972,0.6145,0.6133,377.83
3.0,3.0,20.0,32.0,0.5,0.6967,0.6978,0.6144,0.6132,388.85
3.0,1.0,20.0,64.0,0.2,0.6975,0.6962,0.6138,0.6141,533.97
3.0,2.0,20.0,64.0,0.2,0.697,0.6972,0.6146,0.6152,560.24
3.0,3.0,20.0,64.0,0.2,0.6967,0.6978,0.6145,0.6131,552.18
3.0,1.0,20.0,64.0,0.3,0.6975,0.6959,0.6148,0.6148,535.09
3.0,2.0,20.0,64.0,0.3,0.697,0.6972,0.6139,0.6134,575.1
3.0,3.0,20.0,64.0,0.3,0.6967,0.6978,0.6149,0.613,576.49
3.0,1.0,20.0,64.0,0.5,0.6975,0.6962,0.613,0.6152,577.47
3.0,2.0,20.0,64.0,0.5,0.697,0.6972,0.6147,0.6132,587.19
3.0,3.0,20.0,64.0,0.5,0.6967,0.6978,0.615,0.6128,613.53
3.0,1.0,30.0,16.0,0.2,0.6975,0.6959,0.6137,0.6144,1051.95
3.0,2.0,30.0,16.0,0.2,0.697,0.6972,0.6141,0.6134,1088.1
