K,Fold,Epoch,Batch,Dropout,Label,Precision,Recall,F1-Score,Support
3,1,10,16,0.2,asli,0.6970217640320733,1.0,0.8214647316908539,2434.0
3,1,10,16,0.2,palsu,0.0,0.0,0.0,1058.0
3,2,10,16,0.2,asli,0.0,0.0,0.0,2433.0
3,2,10,16,0.2,palsu,0.3030650243483243,1.0,0.4651571774016267,1058.0
3,3,10,16,0.2,asli,0.0,0.0,0.0,2433.0
3,3,10,16,0.2,palsu,0.3030650243483243,1.0,0.4651571774016267,1058.0
3,1,10,16,0.3,asli,0.0,0.0,0.0,2434.0
3,1,10,16,0.3,palsu,0.3027785734746491,0.999054820415879,0.4647175203341394,1058.0
3,2,10,16,0.3,asli,0.6969349756516757,1.0,0.8214044564483457,2433.0
3,2,10,16,0.3,palsu,0.0,0.0,0.0,1058.0
3,3,10,16,0.3,asli,0.0,0.0,0.0,2433.0
3,3,10,16,0.3,palsu,0.3030650243483243,1.0,0.4651571774016267,1058.0
3,1,10,16,0.5,asli,0.0,0.0,0.0,2434.0
3,1,10,16,0.5,palsu,0.30297823596792667,1.0,0.46505494505494505,1058.0
3,2,10,16,0.5,asli,0.0,0.0,0.0,2433.0
3,2,10,16,0.5,palsu,0.3030650243483243,1.0,0.4651571774016267,1058.0
3,3,10,16,0.5,asli,0.0,0.0,0.0,2433.0
3,3,10,16,0.5,palsu,0.3030650243483243,1.0,0.4651571774016267,1058.0
3,1,10,32,0.2,asli,0.6970217640320733,1.0,0.8214647316908539,2434.0
3,1,10,32,0.2,palsu,0.0,0.0,0.0,1058.0
3,2,10,32,0.2,asli,0.6969349756516757,1.0,0.8214044564483457,2433.0
3,2,10,32,0.2,palsu,0.0,0.0,0.0,1058.0
3,3,10,32,0.2,asli,0.0,0.0,0.0,2433.0
3,3,10,32,0.2,palsu,0.3030650243483243,1.0,0.4651571774016267,1058.0
3,1,10,32,0.3,asli,0.0,0.0,0.0,2434.0
3,1,10,32,0.3,palsu,0.30297823596792667,1.0,0.46505494505494505,1058.0
3,2,10,32,0.3,asli,0.6969349756516757,1.0,0.8214044564483457,2433.0
3,2,10,32,0.3,palsu,0.0,0.0,0.0,1058.0
