K,Fold,Epoch,Batch,Dropout,Confusion_Flat
3,1,10,16,0.2,"[[2434, 0], [1058, 0]]"
3,2,10,16,0.2,"[[0, 2433], [0, 1058]]"
3,3,10,16,0.2,"[[0, 2433], [0, 1058]]"
3,1,10,16,0.3,"[[0, 2434], [1, 1057]]"
3,2,10,16,0.3,"[[2433, 0], [1058, 0]]"
3,3,10,16,0.3,"[[0, 2433], [0, 1058]]"
3,1,10,16,0.5,"[[0, 2434], [0, 1058]]"
3,2,10,16,0.5,"[[0, 2433], [0, 1058]]"
3,3,10,16,0.5,"[[0, 2433], [0, 1058]]"
3,1,10,32,0.2,"[[2434, 0], [1058, 0]]"
3,2,10,32,0.2,"[[2433, 0], [1058, 0]]"
3,3,10,32,0.2,"[[0, 2433], [0, 1058]]"
3,1,10,32,0.3,"[[0, 2434], [0, 1058]]"
3,2,10,32,0.3,"[[2433, 0], [1058, 0]]"
