K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Train Loss,Val Loss,Precision,Recall,Durasi (detik)
3.0,1.0,10.0,16.0,0.2,0.4918,0.697,0.6935,0.6887,0.4858393395343833,0.6970217640320733,450.96
3.0,2.0,10.0,16.0,0.2,0.4978,0.3031,0.6934,0.6979,0.09184840898325038,0.3030650243483243,539.24
3.0,3.0,10.0,16.0,0.2,0.5045,0.3031,0.6933,0.697,0.09184840898325038,0.3030650243483243,516.78
3.0,1.0,10.0,16.0,0.3,0.5009,0.3027,0.6935,0.6965,0.09173531808023447,0.3026918671248568,522.55
3.0,2.0,10.0,16.0,0.3,0.4904,0.6969,0.6935,0.6861,0.4857183602866018,0.6969349756516757,544.72
3.0,3.0,10.0,16.0,0.3,0.4998,0.3031,0.6935,0.7014,0.09184840898325038,0.3030650243483243,568.17
3.0,1.0,10.0,16.0,0.5,0.5069,0.303,0.6937,0.6982,0.09179581147023666,0.30297823596792667,561.02
3.0,2.0,10.0,16.0,0.5,0.4953,0.3031,0.6938,0.6962,0.09184840898325038,0.3030650243483243,571.35
3.0,3.0,10.0,16.0,0.5,0.4993,0.3031,0.6937,0.7042,0.09184840898325038,0.3030650243483243,564.09
3.0,1.0,10.0,32.0,0.2,0.4993,0.697,0.6936,0.6886,0.4858393395343833,0.6970217640320733,372.5
3.0,2.0,10.0,32.0,0.2,0.5028,0.6969,0.6933,0.6862,0.4857183602866018,0.6969349756516757,388.53
3.0,3.0,10.0,32.0,0.2,0.4996,0.3031,0.6933,0.6933,0.09184840898325038,0.3030650243483243,368.76
3.0,1.0,10.0,32.0,0.3,0.4937,0.303,0.6936,0.6943,0.09179581147023666,0.30297823596792667,328.7
3.0,2.0,10.0,32.0,0.3,0.4972,0.6969,0.6935,0.6866,0.4857183602866018,0.6969349756516757,238.58
