K,Fold,Epoch,Batch,Dropout,Label,Precision,Recall,F1-Score,Support
3,1,10,16,0.2,asli,0.9421000981354269,0.7888249794576828,0.8586762075134168,2434.0
3,1,10,16,0.2,palsu,0.6464924346629987,0.888468809073724,0.7484076433121019,1058.0
3,2,10,16,0.2,asli,0.9379146919431279,0.8133990957665433,0.8712304644508034,2433.0
3,2,10,16,0.2,palsu,0.6712527154236061,0.8761814744801513,0.7601476014760148,1058.0
3,3,10,16,0.2,asli,0.9074988774135608,0.8306617344841759,0.867381974248927,2433.0
3,3,10,16,0.2,palsu,0.6740506329113924,0.8052930056710775,0.7338501291989664,1058.0
3,1,10,16,0.3,asli,0.9384544192503471,0.8331963845521775,0.8826985854189336,2434.0
3,1,10,16,0.3,palsu,0.6949661908339594,0.8742911153119093,0.7743825868564252,1058.0
3,2,10,16,0.3,asli,0.9055679287305123,0.835593916974928,0.8691748610517315,2433.0
3,2,10,16,0.3,palsu,0.6789727126805778,0.7996219281663516,0.734375,1058.0
3,3,10,16,0.3,asli,0.9381818181818182,0.8483353884093712,0.8909993524714008,2433.0
3,3,10,16,0.3,palsu,0.7141750580945004,0.8714555765595463,0.7850148999574287,1058.0
3,1,10,16,0.5,asli,0.9513921661160925,0.828266228430567,0.8855699538765649,2434.0
3,1,10,16,0.5,palsu,0.6955571740713765,0.9026465028355387,0.7856849033319622,1058.0
3,2,10,16,0.5,asli,0.9460010188487009,0.7632552404438965,0.8448589626933576,2433.0
3,2,10,16,0.5,palsu,0.6230366492146597,0.8998109640831758,0.7362722351121423,1058.0
3,3,10,16,0.5,asli,0.847457627118644,0.7192766132346897,0.7781236104935527,2433.0
3,3,10,16,0.5,palsu,0.5210378681626928,0.7022684310018904,0.5982286634460547,1058.0
3,1,10,32,0.2,asli,0.9310344827586207,0.8430566967953985,0.8848641655886158,2434.0
3,1,10,32,0.2,palsu,0.703416149068323,0.8563327032136105,0.7723785166240409,1058.0
3,2,10,32,0.2,asli,0.9290508149568553,0.7965474722564735,0.8577118831599911,2433.0
3,2,10,32,0.2,palsu,0.6476868327402135,0.8601134215500945,0.7389362565976452,1058.0
3,3,10,32,0.2,asli,0.9395416869819601,0.792026304973284,0.85950044603033,2433.0
3,3,10,32,0.2,palsu,0.6486111111111111,0.8827977315689981,0.7477982385908727,1058.0
3,1,10,32,0.3,asli,0.9387755102040817,0.8126540673788003,0.8711737502752698,2434.0
3,1,10,32,0.3,palsu,0.6707581227436823,0.8780718336483931,0.7605403192795743,1058.0
3,2,10,32,0.3,asli,0.9223985890652557,0.8598438142211262,0.8900233992767497,2433.0
3,2,10,32,0.3,palsu,0.7211774325429272,0.833648393194707,0.7733450241122315,1058.0
3,3,10,32,0.3,asli,0.9129994941831057,0.7418824496506371,0.81859410430839,2433.0
3,3,10,32,0.3,palsu,0.5852047556142669,0.8374291115311909,0.6889580093312597,1058.0
3,1,10,32,0.5,asli,0.9448742746615088,0.8027937551355793,0.8680586406041759,2434.0
3,1,10,32,0.5,palsu,0.6629213483146067,0.8922495274102079,0.7606768734891217,1058.0
3,2,10,32,0.5,asli,0.9242282507015903,0.8121660501438553,0.8645810544738569,2433.0
3,2,10,32,0.5,palsu,0.6622320768662232,0.8468809073724007,0.7432600580671921,1058.0
3,3,10,32,0.5,asli,0.697874784606548,0.998766954377312,0.8216398985629755,2433.0
3,3,10,32,0.5,palsu,0.6666666666666666,0.005671077504725898,0.011246485473289597,1058.0
