K,Fold,Epoch,Batch,Dropout,Confusion_Flat
3,1,10,16,0.2,"[[1920, 514], [118, 940]]"
3,2,10,16,0.2,"[[1979, 454], [131, 927]]"
3,3,10,16,0.2,"[[2021, 412], [206, 852]]"
3,1,10,16,0.3,"[[2028, 406], [133, 925]]"
3,2,10,16,0.3,"[[2033, 400], [212, 846]]"
3,3,10,16,0.3,"[[2064, 369], [136, 922]]"
3,1,10,16,0.5,"[[2016, 418], [103, 955]]"
3,2,10,16,0.5,"[[1857, 576], [106, 952]]"
3,3,10,16,0.5,"[[1750, 683], [315, 743]]"
3,1,10,32,0.2,"[[2052, 382], [152, 906]]"
3,2,10,32,0.2,"[[1938, 495], [148, 910]]"
3,3,10,32,0.2,"[[1927, 506], [124, 934]]"
3,1,10,32,0.3,"[[1978, 456], [129, 929]]"
3,2,10,32,0.3,"[[2092, 341], [176, 882]]"
3,3,10,32,0.3,"[[1805, 628], [172, 886]]"
3,1,10,32,0.5,"[[1954, 480], [114, 944]]"
3,2,10,32,0.5,"[[1976, 457], [162, 896]]"
3,3,10,32,0.5,"[[2430, 3], [1052, 6]]"
