komentar,tokens,cleaned
"kalo ingin pakek kaos kaki tebel saran up satu size, kalo kaos kaki tipis size normal aja","['kalo', 'pakek', 'kaos', 'kaki', 'tebel', 'saran', 'up', 'size', 'kalo', 'kaos', 'kaki', 'tipis', 'size', 'normal', 'aja']",kalo pakek kaos kaki tebel saran up size kalo kaos kaki tipis size normal aja
"pengiriman cepat, kualitas sepatu bagus, jahitannya rapih. ukuran sepatu akurat","['kirim', 'cepat', 'kualitas', 'sepatu', 'bagus', 'jahit', 'rapih', 'ukur', 'sepatu', 'akurat']",kirim cepat kualitas sepatu bagus jahit rapih ukur sepatu akurat
"barang sudah diterima dengan baik, pengiriman cepat, product sepertinya bagus dan original, sudah dicoba pakai ukuran pas dan nyaman dipakai, recommended seller, terima kasih","['barang', 'terima', 'baik', 'kirim', 'cepat', 'product', 'bagus', 'original', 'coba', 'pakai', 'ukur', 'pas', 'nyaman', 'pakai', 'recommended', 'seller', 'terima', 'kasih']",barang terima baik kirim cepat product bagus original coba pakai ukur pas nyaman pakai recommended seller terima kasih
"pengiriman cepat, packing aman, rapi bangt malah. kualitas barang ok, karena beli di official, sepatunya ringan, nyaman dipakai, ukuran pas. dapat bonus kaos kaki..","['kirim', 'cepat', 'packing', 'aman', 'rapi', 'bangt', 'malah', 'kualitas', 'barang', 'ok', 'beli', 'official', 'sepatu', 'ringan', 'nyaman', 'pakai', 'ukur', 'pas', 'bonus', 'kaos', 'kaki']",kirim cepat packing aman rapi bangt malah kualitas barang ok beli official sepatu ringan nyaman pakai ukur pas bonus kaos kaki
"sesuai pesanan, sengaja upsize 0,5 cm dari sepatu road, kalo tanpa runner knot agak heelslip pake kaos kaki tipis, kalo pake runner knot aman. pesan biru orange tapi minta tuker jadi warna kuning, tetap dilayani seller, dapat bonus kaos kaki juga. ni sepatunya kualitasnya ok banget sih, kecuali kotak sepatunya.","['sesuai', 'pesan', 'sengaja', 'upsize', '0 5', 'cm', 'sepatu', 'road', 'kalo', 'runner', 'knot', 'heelslip', 'pake', 'kaos', 'kaki', 'tipis', 'kalo', 'pake', 'runner', 'knot', 'aman', 'pesan', 'biru', 'orange', 'tuker', 'warna', 'kuning', 'layan', 'seller', 'bonus', 'kaos', 'kaki', 'juga', 'ni', 'sepatu', 'kualitas', 'ok', 'banget', 'sih', 'kecuali', 'kotak', 'sepatu']",sesuai pesan sengaja upsize 0 5 cm sepatu road kalo runner knot heelslip pake kaos kaki tipis kalo pake runner knot aman pesan biru orange tuker warna kuning layan seller bonus kaos kaki juga ni sepatu kualitas ok banget sih kecuali kotak sepatu
"shoe pad / insole tidak sama, di telapak kaki sebelah kiri lebih kasar","['shoe', 'pad', '', 'insole', 'sama', 'telapak', 'kaki', 'belah', 'kiri', 'kasar']",shoe pad  insole sama telapak kaki belah kiri kasar
"bagus, barang sesuai, pengiriman cepat, kualitas oke, semoga awet","['bagus', 'barang', 'sesuai', 'kirim', 'cepat', 'kualitas', 'oke', 'moga', 'awet']",bagus barang sesuai kirim cepat kualitas oke moga awet
ukuran sesuai deskripsi sepatu nyaman 👟,"['ukur', 'sesuai', 'deskripsi', 'sepatu', 'nyaman', '']",ukur sesuai deskripsi sepatu nyaman 
"alhamdulillah ala kulihal, barang sudah diterima dengan baik dan aman. kualitas barang juga bagus sesuai dengan description. semoga bermanfanfaat dan bisa membawa kebaikan. aamiin","['alhamdulillah', 'ala', 'kulihal', 'barang', 'terima', 'aman', 'kualitas', 'barang', 'bagus', 'sesuai', 'description', 'moga', 'bermanfanfaat', 'bawa', 'baik', 'aamiin']",alhamdulillah ala kulihal barang terima aman kualitas barang bagus sesuai description moga bermanfanfaat bawa baik aamiin
"pengiriman cepat, untuk sepatunya lumayanlah dgn hrg segitu","['kirim', 'cepat', 'sepatu', 'lumayan', 'dgn', 'hrg', 'segitu']",kirim cepat sepatu lumayan dgn hrg segitu
