"komentar","cleaned_text","casefolded","tokens","normalized","stopword_removed","stemmed","cleaned","label"
"kalo ingin pakek kaos kaki tebel saran up satu size, kalo kaos kaki tipis size normal aja","kalo ingin pakek kaos kaki tebel saran up satu size kalo kaos kaki tipis size normal aja","kalo ingin pakek kaos kaki tebel saran up satu size kalo kaos kaki tipis size normal aja","['kalo', 'ingin', 'pakek', 'kaos', 'kaki', 'tebel', 'saran', 'up', 'satu', 'size', 'kalo', 'kaos', 'kaki', 'tipis', 'size', 'normal', 'aja']","['kalo', 'ingin', 'pakek', 'kaos', 'kaki', 'tebel', 'saran', 'up', 'satu', 'size', 'kalo', 'kaos', 'kaki', 'tipis', 'size', 'normal', 'aja']","['kalo', 'pakek', 'kaos', 'kaki', 'tebel', 'saran', 'up', 'size', 'kalo', 'kaos', 'kaki', 'tipis', 'size', 'normal', 'aja']","['kalo', 'pakek', 'kaos', 'kaki', 'tebel', 'saran', 'up', 'size', 'kalo', 'kaos', 'kaki', 'tipis', 'size', 'normal', 'aja']","kalo pakek kaos kaki tebel saran up size kalo kaos kaki tipis size normal aja",""
"pengiriman cepat, kualitas sepatu bagus, jahitannya rapih. ukuran sepatu akurat","pengiriman cepat kualitas sepatu bagus jahitannya rapih ukuran sepatu akurat","pengiriman cepat kualitas sepatu bagus jahitannya rapih ukuran sepatu akurat","['pengiriman', 'cepat', 'kualitas', 'sepatu', 'bagus', 'jahitannya', 'rapih', 'ukuran', 'sepatu', 'akurat']","['pengiriman', 'cepat', 'kualitas', 'sepatu', 'bagus', 'jahitannya', 'rapih', 'ukuran', 'sepatu', 'akurat']","['pengiriman', 'cepat', 'kualitas', 'sepatu', 'bagus', 'jahitannya', 'rapih', 'ukuran', 'sepatu', 'akurat']","['kirim', 'cepat', 'kualitas', 'sepatu', 'bagus', 'jahit', 'rapih', 'ukur', 'sepatu', 'akurat']","kirim cepat kualitas sepatu bagus jahit rapih ukur sepatu akurat",""
"Barang sudah diterima dengan baik, pengiriman cepat, product sepertinya bagus dan original, sudah dicoba pakai ukuran pas dan nyaman dipakai, recommended seller, terima kasih","Barang sudah diterima dengan baik pengiriman cepat product sepertinya bagus dan original sudah dicoba pakai ukuran pas dan nyaman dipakai recommended seller terima kasih","barang sudah diterima dengan baik pengiriman cepat product sepertinya bagus dan original sudah dicoba pakai ukuran pas dan nyaman dipakai recommended seller terima kasih","['barang', 'sudah', 'diterima', 'dengan', 'baik', 'pengiriman', 'cepat', 'product', 'sepertinya', 'bagus', 'dan', 'original', 'sudah', 'dicoba', 'pakai', 'ukuran', 'pas', 'dan', 'nyaman', 'dipakai', 'recommended', 'seller', 'terima', 'kasih']","['barang', 'sudah', 'diterima', 'dengan', 'baik', 'pengiriman', 'cepat', 'product', 'sepertinya', 'bagus', 'dan', 'original', 'sudah', 'dicoba', 'pakai', 'ukuran', 'pas', 'dan', 'nyaman', 'dipakai', 'recommended', 'seller', 'terima', 'kasih']","['barang', 'diterima', 'pengiriman', 'cepat', 'product', 'bagus', 'original', 'dicoba', 'pakai', 'ukuran', 'pas', 'nyaman', 'dipakai', 'recommended', 'seller', 'terima', 'kasih']","['barang', 'terima', 'kirim', 'cepat', 'product', 'bagus', 'original', 'coba', 'pakai', 'ukur', 'pas', 'nyaman', 'pakai', 'recommended', 'seller', 'terima', 'kasih']","barang terima kirim cepat product bagus original coba pakai ukur pas nyaman pakai recommended seller terima kasih",""
"Pengiriman cepat, packing aman, rapi bangt malah. Kualitas barang ok, karena beli di official, sepatunya ringan, nyaman dipakai, ukuran pas. Dapat bonus kaos kaki..","Pengiriman cepat packing aman rapi bangt malah Kualitas barang ok karena beli di official sepatunya ringan nyaman dipakai ukuran pas Dapat bonus kaos kaki","pengiriman cepat packing aman rapi bangt malah kualitas barang ok karena beli di official sepatunya ringan nyaman dipakai ukuran pas dapat bonus kaos kaki","['pengiriman', 'cepat', 'packing', 'aman', 'rapi', 'bangt', 'malah', 'kualitas', 'barang', 'ok', 'karena', 'beli', 'di', 'official', 'sepatunya', 'ringan', 'nyaman', 'dipakai', 'ukuran', 'pas', 'dapat', 'bonus', 'kaos', 'kaki']","['pengiriman', 'cepat', 'packing', 'aman', 'rapi', 'bangt', 'malah', 'kualitas', 'barang', 'oke', 'karena', 'beli', 'di', 'official', 'sepatunya', 'ringan', 'nyaman', 'dipakai', 'ukuran', 'pas', 'dapat', 'bonus', 'kaos', 'kaki']","['pengiriman', 'cepat', 'packing', 'aman', 'rapi', 'bangt', 'kualitas', 'barang', 'oke', 'beli', 'official', 'sepatunya', 'ringan', 'nyaman', 'dipakai', 'ukuran', 'pas', 'bonus', 'kaos', 'kaki']","['kirim', 'cepat', 'packing', 'aman', 'rapi', 'bangt', 'kualitas', 'barang', 'oke', 'beli', 'official', 'sepatu', 'ringan', 'nyaman', 'pakai', 'ukur', 'pas', 'bonus', 'kaos', 'kaki']","kirim cepat packing aman rapi bangt kualitas barang oke beli official sepatu ringan nyaman pakai ukur pas bonus kaos kaki",""
"sesuai pesanan, sengaja upsize 0,5 cm dari sepatu road, kalo tanpa Runner Knot agak heelslip pake kaos kaki tipis, kalo pake Runner knot aman. pesan biru orange tapi minta tuker jadi warna kuning, tetap dilayani seller, dapat bonus kaos kaki juga. ni sepatunya kualitasnya ok banget sih, kecuali kotak sepatunya.","sesuai pesanan sengaja upsize 0 5 cm dari sepatu road kalo tanpa Runner Knot agak heelslip pake kaos kaki tipis kalo pake Runner knot aman pesan biru orange tapi minta tuker jadi warna kuning tetap dilayani seller dapat bonus kaos kaki juga ni sepatunya kualitasnya ok banget sih kecuali kotak sepatunya","sesuai pesanan sengaja upsize 0 5 cm dari sepatu road kalo tanpa runner knot agak heelslip pake kaos kaki tipis kalo pake runner knot aman pesan biru orange tapi minta tuker jadi warna kuning tetap dilayani seller dapat bonus kaos kaki juga ni sepatunya kualitasnya ok banget sih kecuali kotak sepatunya","['sesuai', 'pesanan', 'sengaja', 'upsize', '0', '5', 'cm', 'dari', 'sepatu', 'road', 'kalo', 'tanpa', 'runner', 'knot', 'agak', 'heelslip', 'pake', 'kaos', 'kaki', 'tipis', 'kalo', 'pake', 'runner', 'knot', 'aman', 'pesan', 'biru', 'orange', 'tapi', 'minta', 'tuker', 'jadi', 'warna', 'kuning', 'tetap', 'dilayani', 'seller', 'dapat', 'bonus', 'kaos', 'kaki', 'juga', 'ni', 'sepatunya', 'kualitasnya', 'ok', 'banget', 'sih', 'kecuali', 'kotak', 'sepatunya']","['sesuai', 'pesanan', 'sengaja', 'upsize', '0', '5', 'cm', 'dari', 'sepatu', 'road', 'kalo', 'tanpa', 'runner', 'knot', 'agak', 'heelslip', 'pake', 'kaos', 'kaki', 'tipis', 'kalo', 'pake', 'runner', 'knot', 'aman', 'pesan', 'biru', 'orange', 'tapi', 'minta', 'tuker', 'jadi', 'warna', 'kuning', 'tetap', 'dilayani', 'seller', 'dapat', 'bonus', 'kaos', 'kaki', 'juga', 'ni', 'sepatunya', 'kualitasnya', 'oke', 'banget', 'sih', 'kecuali', 'kotak', 'sepatunya']","['sesuai', 'pesanan', 'sengaja', 'upsize', '0', '5', 'cm', 'sepatu', 'road', 'kalo', 'runner', 'knot', 'heelslip', 'pake', 'kaos', 'kaki', 'tipis', 'kalo', 'pake', 'runner', 'knot', 'aman', 'pesan', 'biru', 'orange', 'tuker', 'warna', 'kuning', 'dilayani', 'seller', 'bonus', 'kaos', 'kaki', 'ni', 'sepatunya', 'kualitasnya', 'oke', 'banget', 'sih', 'kecuali', 'kotak', 'sepatunya']","['sesuai', 'pesan', 'sengaja', 'upsize', '0', '5', 'cm', 'sepatu', 'road', 'kalo', 'runner', 'knot', 'heelslip', 'pake', 'kaos', 'kaki', 'tipis', 'kalo', 'pake', 'runner', 'knot', 'aman', 'pesan', 'biru', 'orange', 'tuker', 'warna', 'kuning', 'layan', 'seller', 'bonus', 'kaos', 'kaki', 'ni', 'sepatu', 'kualitas', 'oke', 'banget', 'sih', 'kecuali', 'kotak', 'sepatu']","sesuai pesan sengaja upsize 0 5 cm sepatu road kalo runner knot heelslip pake kaos kaki tipis kalo pake runner knot aman pesan biru orange tuker warna kuning layan seller bonus kaos kaki ni sepatu kualitas oke banget sih kecuali kotak sepatu",""
"shoe pad / insole tidak sama, di telapak kaki sebelah kiri lebih kasar","shoe pad insole tidak sama di telapak kaki sebelah kiri lebih kasar","shoe pad insole tidak sama di telapak kaki sebelah kiri lebih kasar","['shoe', 'pad', 'insole', 'tidak', 'sama', 'di', 'telapak', 'kaki', 'sebelah', 'kiri', 'lebih', 'kasar']","['shoe', 'pad', 'insole', 'tidak', 'sama', 'di', 'telapak', 'kaki', 'sebelah', 'kiri', 'lebih', 'kasar']","['shoe', 'pad', 'insole', 'telapak', 'kaki', 'sebelah', 'kiri', 'kasar']","['shoe', 'pad', 'insole', 'telapak', 'kaki', 'belah', 'kiri', 'kasar']","shoe pad insole telapak kaki belah kiri kasar",""
"bagus, brg sesuai, pengiriman cepat, kualitas oke, semoga awet","bagus brg sesuai pengiriman cepat kualitas oke semoga awet","bagus brg sesuai pengiriman cepat kualitas oke semoga awet","['bagus', 'brg', 'sesuai', 'pengiriman', 'cepat', 'kualitas', 'oke', 'semoga', 'awet']","['bagus', 'barang', 'sesuai', 'pengiriman', 'cepat', 'kualitas', 'oke', 'semoga', 'awet']","['bagus', 'barang', 'sesuai', 'pengiriman', 'cepat', 'kualitas', 'oke', 'semoga', 'awet']","['bagus', 'barang', 'sesuai', 'kirim', 'cepat', 'kualitas', 'oke', 'moga', 'awet']","bagus barang sesuai kirim cepat kualitas oke moga awet",""
"Ukuran Sesuai Deskripsi Sepatu Nyaman 👟","Ukuran Sesuai Deskripsi Sepatu Nyaman","ukuran sesuai deskripsi sepatu nyaman","['ukuran', 'sesuai', 'deskripsi', 'sepatu', 'nyaman']","['ukuran', 'sesuai', 'deskripsi', 'sepatu', 'nyaman']","['ukuran', 'sesuai', 'deskripsi', 'sepatu', 'nyaman']","['ukur', 'sesuai', 'deskripsi', 'sepatu', 'nyaman']","ukur sesuai deskripsi sepatu nyaman",""
"Alhamdulillah ala kulihal, barang sudah diterima dengan baik dan aman. Kualitas barang juga bagus sesuai dengan description. Semoga bermanfanfaat dan bisa membawa kebaikan. Aamiin","Alhamdulillah ala kulihal barang sudah diterima dengan baik dan aman Kualitas barang juga bagus sesuai dengan description Semoga bermanfanfaat dan bisa membawa kebaikan Aamiin","alhamdulillah ala kulihal barang sudah diterima dengan baik dan aman kualitas barang juga bagus sesuai dengan description semoga bermanfanfaat dan bisa membawa kebaikan aamiin","['alhamdulillah', 'ala', 'kulihal', 'barang', 'sudah', 'diterima', 'dengan', 'baik', 'dan', 'aman', 'kualitas', 'barang', 'juga', 'bagus', 'sesuai', 'dengan', 'description', 'semoga', 'bermanfanfaat', 'dan', 'bisa', 'membawa', 'kebaikan', 'aamiin']","['alhamdulillah', 'ala', 'kulihal', 'barang', 'sudah', 'diterima', 'dengan', 'baik', 'dan', 'aman', 'kualitas', 'barang', 'juga', 'bagus', 'sesuai', 'dengan', 'description', 'semoga', 'bermanfanfaat', 'dan', 'bisa', 'membawa', 'kebaikan', 'aamiin']","['alhamdulillah', 'ala', 'kulihal', 'barang', 'diterima', 'aman', 'kualitas', 'barang', 'bagus', 'sesuai', 'description', 'semoga', 'bermanfanfaat', 'membawa', 'kebaikan', 'aamiin']","['alhamdulillah', 'ala', 'kulihal', 'barang', 'terima', 'aman', 'kualitas', 'barang', 'bagus', 'sesuai', 'description', 'moga', 'bermanfanfaat', 'bawa', 'baik', 'aamiin']","alhamdulillah ala kulihal barang terima aman kualitas barang bagus sesuai description moga bermanfanfaat bawa baik aamiin",""
"Pengiriman cepat, untuk sepatunya Lumayanlah dgn hrg segitu","Pengiriman cepat untuk sepatunya Lumayanlah dgn hrg segitu","pengiriman cepat untuk sepatunya lumayanlah dgn hrg segitu","['pengiriman', 'cepat', 'untuk', 'sepatunya', 'lumayanlah', 'dgn', 'hrg', 'segitu']","['pengiriman', 'cepat', 'untuk', 'sepatunya', 'lumayanlah', 'dgn', 'hrg', 'segitu']","['pengiriman', 'cepat', 'sepatunya', 'lumayanlah', 'dgn', 'hrg', 'segitu']","['kirim', 'cepat', 'sepatu', 'lumayan', 'dgn', 'hrg', 'segitu']","kirim cepat sepatu lumayan dgn hrg segitu",""
