komentar,cleaned,tokens,normalized,stemmed,cleaned_final
"mantap, walaupun bagian depannya sedikit tidak rapi ya overall bagus",mantap walaupun bagian depannya sedikit tidak rapi ya overall bagus,"['mantap', 'walaupun', 'bagian', 'depannya', 'sedikit', 'tidak', 'rapi', 'ya', 'overall', 'bagus']","['mantap', 'walaupun', 'bagian', 'depannya', 'sedikit', 'tidak', 'rapi', 'ya', 'overall', 'bagus']","['mantap', 'walaupun', 'bagi', 'depan', 'sedikit', 'tidak', 'rapi', 'ya', 'overall', 'bagus']",mantap walaupun bagi depan sedikit tidak rapi ya overall bagus
berkulitas hampir mirip dengan yang asli. desain nya agk kurang rapi lem nya masi luber keluar tapi dengan harga segitu udh wow banget sepatu nya juga tidak kaku melain kan fleksibel midsol bawah super empuk jadi jangan ragu untu beli di toko ini,berkulitas hampir mirip dengan yang asli desain nya agk kurang rapi lem nya masi luber keluar tapi dengan harga segitu udh wow banget sepatu nya juga tidak kaku melain kan fleksibel midsol bawah super empuk jadi jangan ragu untu beli di toko ini,"['berkulitas', 'hampir', 'mirip', 'dengan', 'yang', 'asli', 'desain', 'nya', 'agk', 'kurang', 'rapi', 'lem', 'nya', 'masi', 'luber', 'keluar', 'tapi', 'dengan', 'harga', 'segitu', 'udh', 'wow', 'banget', 'sepatu', 'nya', 'juga', 'tidak', 'kaku', 'melain', 'kan', 'fleksibel', 'midsol', 'bawah', 'super', 'empuk', 'jadi', 'jangan', 'ragu', 'untu', 'beli', 'di', 'toko', 'ini']","['berkulitas', 'hampir', 'mirip', 'dengan', 'yang', 'asli', 'desain', 'nya', 'agk', 'kurang', 'rapi', 'lem', 'nya', 'masi', 'luber', 'keluar', 'tapi', 'dengan', 'harga', 'segitu', 'sudah', 'wow', 'banget', 'sepatu', 'nya', 'juga', 'tidak', 'kaku', 'melain', 'kan', 'fleksibel', 'midsol', 'bawah', 'super', 'empuk', 'jadi', 'jangan', 'ragu', 'untu', 'beli', 'di', 'toko', 'ini']","['berkulitas', 'hampir', 'mirip', 'dengan', 'yang', 'asli', 'desain', 'nya', 'agk', 'kurang', 'rapi', 'lem', 'nya', 'mas', 'luber', 'keluar', 'tapi', 'dengan', 'harga', 'segitu', 'sudah', 'wow', 'banget', 'sepatu', 'nya', 'juga', 'tidak', 'kaku', 'lain', 'kan', 'fleksibel', 'midsol', 'bawah', 'super', 'empuk', 'jadi', 'jangan', 'ragu', 'untu', 'beli', 'di', 'toko', 'ini']",berkulitas hampir mirip dengan yang asli desain nya agk kurang rapi lem nya mas luber keluar tapi dengan harga segitu sudah wow banget sepatu nya juga tidak kaku lain kan fleksibel midsol bawah super empuk jadi jangan ragu untu beli di toko ini
harga segitu jangan berharap lebih karena kw y kw.kalau pingin bagus y nabung dulu beli yg ori atau brand lokal saja yg hemat.,harga segitu jangan berharap lebih karena kw y kw kalau pingin bagus y nabung dulu beli yg ori atau brand lokal saja yg hemat,"['harga', 'segitu', 'jangan', 'berharap', 'lebih', 'karena', 'kw', 'y', 'kw', 'kalau', 'pingin', 'bagus', 'y', 'nabung', 'dulu', 'beli', 'yg', 'ori', 'atau', 'brand', 'lokal', 'saja', 'yg', 'hemat']","['harga', 'segitu', 'jangan', 'berharap', 'lebih', 'karena', 'palsu', 'y', 'palsu', 'kalau', 'pingin', 'bagus', 'y', 'nabung', 'dulu', 'beli', 'yang', 'asli', 'atau', 'brand', 'lokal', 'saja', 'yang', 'hemat']","['harga', 'segitu', 'jangan', 'harap', 'lebih', 'karena', 'palsu', 'y', 'palsu', 'kalau', 'pingin', 'bagus', 'y', 'nabung', 'dulu', 'beli', 'yang', 'asli', 'atau', 'brand', 'lokal', 'saja', 'yang', 'hemat']",harga segitu jangan harap lebih karena palsu y palsu kalau pingin bagus y nabung dulu beli yang asli atau brand lokal saja yang hemat
"barang ok, sesuai deskripsi, ukuran pas, saya kasi bintang 5, semoga awet",barang ok sesuai deskripsi ukuran pas saya kasi bintang 5 semoga awet,"['barang', 'ok', 'sesuai', 'deskripsi', 'ukuran', 'pas', 'saya', 'kasi', 'bintang', '5', 'semoga', 'awet']","['barang', 'oke', 'sesuai', 'deskripsi', 'ukuran', 'pas', 'saya', 'kasi', 'bintang', '5', 'semoga', 'awet']","['barang', 'oke', 'sesuai', 'deskripsi', 'ukur', 'pas', 'saya', 'kasi', 'bintang', '5', 'moga', 'awet']",barang oke sesuai deskripsi ukur pas saya kasi bintang 5 moga awet
"pelayanan ramah,sesuai warna dan bahan tebal 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",pelayanan ramah sesuai warna dan bahan tebal,"['pelayanan', 'ramah', 'sesuai', 'warna', 'dan', 'bahan', 'tebal']","['pelayanan', 'ramah', 'sesuai', 'warna', 'dan', 'bahan', 'tebal']","['layan', 'ramah', 'sesuai', 'warna', 'dan', 'bahan', 'tebal']",layan ramah sesuai warna dan bahan tebal
"worth it sesuai harga yaa. solnya empuk. buat yg kakinya lebar, saran order ukuran +1",worth it sesuai harga yaa solnya empuk buat yg kakinya lebar saran order ukuran 1,"['worth', 'it', 'sesuai', 'harga', 'yaa', 'solnya', 'empuk', 'buat', 'yg', 'kakinya', 'lebar', 'saran', 'order', 'ukuran', '1']","['worth', 'it', 'sesuai', 'harga', 'yaa', 'solnya', 'empuk', 'buat', 'yang', 'kakinya', 'lebar', 'saran', 'order', 'ukuran', '1']","['worth', 'it', 'sesuai', 'harga', 'yaa', 'sol', 'empuk', 'buat', 'yang', 'kaki', 'lebar', 'saran', 'order', 'ukur', '1']",worth it sesuai harga yaa sol empuk buat yang kaki lebar saran order ukur 1
"recomend,keren👍🏻,mantul. rencanannya buat kado trkhir beli untuk sendiri juga.",recomend keren mantul rencanannya buat kado trkhir beli untuk sendiri juga,"['recomend', 'keren', 'mantul', 'rencanannya', 'buat', 'kado', 'trkhir', 'beli', 'untuk', 'sendiri', 'juga']","['recomend', 'keren', 'mantap', 'rencanannya', 'buat', 'kado', 'trkhir', 'beli', 'untuk', 'sendiri', 'juga']","['recomend', 'keren', 'mantap', 'rencanannya', 'buat', 'kado', 'trkhir', 'beli', 'untuk', 'sendiri', 'juga']",recomend keren mantap rencanannya buat kado trkhir beli untuk sendiri juga
"Alhamdulillah, sepatu nya sudah mendarat dengan selamat. semoga awet dan bisa menunjang aktivitas sehari-hari.",alhamdulillah sepatu nya sudah mendarat dengan selamat semoga awet dan bisa menunjang aktivitas sehari hari,"['alhamdulillah', 'sepatu', 'nya', 'sudah', 'mendarat', 'dengan', 'selamat', 'semoga', 'awet', 'dan', 'bisa', 'menunjang', 'aktivitas', 'sehari', 'hari']","['alhamdulillah', 'sepatu', 'nya', 'sudah', 'mendarat', 'dengan', 'selamat', 'semoga', 'awet', 'dan', 'bisa', 'menunjang', 'aktivitas', 'sehari', 'hari']","['alhamdulillah', 'sepatu', 'nya', 'sudah', 'darat', 'dengan', 'selamat', 'moga', 'awet', 'dan', 'bisa', 'tunjang', 'aktivitas', 'hari', 'hari']",alhamdulillah sepatu nya sudah darat dengan selamat moga awet dan bisa tunjang aktivitas hari hari
"kualitas bahan dan model gak kaleng2, ukuran sy naikan 1 dari 43 ke 44 pas banget, harusnya 45 sih biar agak longgar dikit, trims seller, pertahankan kualitas barang dan pelayanan",kualitas bahan dan model gak kaleng2 ukuran sy naikan 1 dari 43 ke 44 pas banget harusnya 45 sih biar agak longgar dikit trims seller pertahankan kualitas barang dan pelayanan,"['kualitas', 'bahan', 'dan', 'model', 'gak', 'kaleng2', 'ukuran', 'sy', 'naikan', '1', 'dari', '43', 'ke', '44', 'pas', 'banget', 'harusnya', '45', 'sih', 'biar', 'agak', 'longgar', 'dikit', 'trims', 'seller', 'pertahankan', 'kualitas', 'barang', 'dan', 'pelayanan']","['kualitas', 'bahan', 'dan', 'model', 'tidak', 'kaleng2', 'ukuran', 'sy', 'naikan', '1', 'dari', '43', 'ke', '44', 'pas', 'banget', 'harusnya', '45', 'sih', 'biar', 'agak', 'longgar', 'dikit', 'trims', 'seller', 'pertahankan', 'kualitas', 'barang', 'dan', 'pelayanan']","['kualitas', 'bahan', 'dan', 'model', 'tidak', 'kaleng2', 'ukur', 'sy', 'naik', '1', 'dari', '43', 'ke', '44', 'pas', 'banget', 'harus', '45', 'sih', 'biar', 'agak', 'longgar', 'dikit', 'trims', 'seller', 'tahan', 'kualitas', 'barang', 'dan', 'layan']",kualitas bahan dan model tidak kaleng2 ukur sy naik 1 dari 43 ke 44 pas banget harus 45 sih biar agak longgar dikit trims seller tahan kualitas barang dan layan
"barang sesuai pesanan tak ada cacat cuma agak sedikit bau lem aibon, so far sih so good",barang sesuai pesanan tak ada cacat cuma agak sedikit bau lem aibon so far sih so good,"['barang', 'sesuai', 'pesanan', 'tak', 'ada', 'cacat', 'cuma', 'agak', 'sedikit', 'bau', 'lem', 'aibon', 'so', 'far', 'sih', 'so', 'good']","['barang', 'sesuai', 'pesanan', 'tak', 'ada', 'cacat', 'cuma', 'agak', 'sedikit', 'bau', 'lem', 'aibon', 'so', 'far', 'sih', 'so', 'good']","['barang', 'sesuai', 'pesan', 'tak', 'ada', 'cacat', 'cuma', 'agak', 'sedikit', 'bau', 'lem', 'aibon', 'so', 'far', 'sih', 'so', 'good']",barang sesuai pesan tak ada cacat cuma agak sedikit bau lem aibon so far sih so good
