K,Fold,Epoch,Batch,Dropout,Confusion_Flat
3,1,10,16,0.2,"[[2058, 376], [132, 926]]"
3,2,10,16,0.2,"[[1973, 460], [102, 956]]"
3,3,10,16,0.2,"[[2114, 319], [178, 880]]"
3,1,10,16,0.3,"[[1219, 1215], [87, 971]]"
3,2,10,16,0.3,"[[1947, 486], [113, 945]]"
3,3,10,16,0.3,"[[2026, 407], [159, 899]]"
3,1,10,16,0.5,"[[1909, 525], [86, 972]]"
3,2,10,16,0.5,"[[2087, 346], [191, 867]]"
3,3,10,16,0.5,"[[2046, 387], [127, 931]]"
3,1,10,32,0.2,"[[1914, 520], [92, 966]]"
3,2,10,32,0.2,"[[2025, 408], [168, 890]]"
3,3,10,32,0.2,"[[2097, 336], [192, 866]]"
3,1,10,32,0.3,"[[1923, 511], [93, 965]]"
3,2,10,32,0.3,"[[2136, 297], [197, 861]]"
3,3,10,32,0.3,"[[1938, 495], [118, 940]]"
3,1,10,32,0.5,"[[1897, 537], [74, 984]]"
3,2,10,32,0.5,"[[1993, 440], [160, 898]]"
3,3,10,32,0.5,"[[2007, 426], [133, 925]]"
3,1,10,64,0.2,"[[687, 1747], [76, 982]]"
3,2,10,64,0.2,"[[2072, 361], [219, 839]]"
3,3,10,64,0.2,"[[1921, 512], [168, 890]]"
3,1,10,64,0.3,"[[2037, 397], [197, 861]]"
3,2,10,64,0.3,"[[1947, 486], [162, 896]]"
3,3,10,64,0.3,"[[1963, 470], [146, 912]]"
3,1,10,64,0.5,"[[1838, 596], [85, 973]]"
3,2,10,64,0.5,"[[1798, 635], [147, 911]]"
3,3,10,64,0.5,"[[1725, 708], [128, 930]]"
3,1,20,16,0.2,"[[2003, 431], [76, 982]]"
3,2,20,16,0.2,"[[2024, 409], [107, 951]]"
3,3,20,16,0.2,"[[2028, 405], [97, 961]]"
3,1,20,16,0.3,"[[1994, 440], [78, 980]]"
3,2,20,16,0.3,"[[2037, 396], [123, 935]]"
3,3,20,16,0.3,"[[1966, 467], [152, 906]]"
3,1,20,16,0.5,"[[2011, 423], [85, 973]]"
3,2,20,16,0.5,"[[2023, 410], [120, 938]]"
3,3,20,16,0.5,"[[2003, 430], [78, 980]]"
3,1,20,32,0.2,"[[2051, 383], [114, 944]]"
3,2,20,32,0.2,"[[2017, 416], [119, 939]]"
3,3,20,32,0.2,"[[1955, 478], [110, 948]]"
3,1,20,32,0.3,"[[2033, 401], [144, 914]]"
3,2,20,32,0.3,"[[1982, 451], [102, 956]]"
3,3,20,32,0.3,"[[2077, 356], [119, 939]]"
3,1,20,32,0.5,"[[2051, 383], [101, 957]]"
3,2,20,32,0.5,"[[2033, 400], [147, 911]]"
3,3,20,32,0.5,"[[1979, 454], [78, 980]]"
3,1,20,64,0.2,"[[1723, 711], [457, 601]]"
3,2,20,64,0.2,"[[2060, 373], [143, 915]]"
3,3,20,64,0.2,"[[1996, 437], [136, 922]]"
3,1,20,64,0.3,"[[2085, 349], [183, 875]]"
3,2,20,64,0.3,"[[1902, 531], [110, 948]]"
3,3,20,64,0.3,"[[1973, 460], [134, 924]]"
3,1,20,64,0.5,"[[2040, 394], [129, 929]]"
3,2,20,64,0.5,"[[2087, 346], [157, 901]]"
3,3,20,64,0.5,"[[2037, 396], [147, 911]]"
3,1,30,16,0.2,"[[2082, 352], [94, 964]]"
3,2,30,16,0.2,"[[2116, 317], [148, 910]]"
3,3,30,16,0.2,"[[1867, 566], [166, 892]]"
3,1,30,16,0.3,"[[2064, 370], [101, 957]]"
3,2,30,16,0.3,"[[2219, 214], [222, 836]]"
3,3,30,16,0.3,"[[2081, 352], [105, 953]]"
3,1,30,16,0.5,"[[2196, 238], [179, 879]]"
3,2,30,16,0.5,"[[2131, 302], [137, 921]]"
3,3,30,16,0.5,"[[2092, 341], [126, 932]]"
3,1,30,32,0.2,"[[2076, 358], [105, 953]]"
3,2,30,32,0.2,"[[2084, 349], [131, 927]]"
3,3,30,32,0.2,"[[2123, 310], [168, 890]]"
3,1,30,32,0.3,"[[1966, 468], [117, 941]]"
3,2,30,32,0.3,"[[1928, 505], [95, 963]]"
3,3,30,32,0.3,"[[2127, 306], [132, 926]]"
3,1,30,32,0.5,"[[2088, 346], [116, 942]]"
3,2,30,32,0.5,"[[1978, 455], [102, 956]]"
3,3,30,32,0.5,"[[2096, 337], [111, 947]]"
3,1,30,64,0.2,"[[1987, 447], [81, 977]]"
3,2,30,64,0.2,"[[2154, 279], [197, 861]]"
3,3,30,64,0.2,"[[2097, 336], [130, 928]]"
3,1,30,64,0.3,"[[2151, 283], [136, 922]]"
3,2,30,64,0.3,"[[2087, 346], [158, 900]]"
3,3,30,64,0.3,"[[2022, 411], [96, 962]]"
3,1,30,64,0.5,"[[2097, 337], [129, 929]]"
3,2,30,64,0.5,"[[1960, 473], [99, 959]]"
3,3,30,64,0.5,"[[1989, 444], [98, 960]]"
5,1,10,16,0.2,"[[1228, 232], [65, 570]]"
5,2,10,16,0.2,"[[1169, 291], [52, 583]]"
5,3,10,16,0.2,"[[1195, 265], [79, 556]]"
5,4,10,16,0.2,"[[1321, 139], [116, 519]]"
5,5,10,16,0.2,"[[1106, 354], [46, 588]]"
5,1,10,16,0.3,"[[1217, 243], [68, 567]]"
5,2,10,16,0.3,"[[1190, 270], [62, 573]]"
