K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Train Loss,Val Loss,Precision,Recall,Durasi (detik)
3.0,1.0,10.0,16.0,0.2,0.8493,0.8545,0.3566,0.3153,0.870491710302016,0.854524627720504,287.16
3.0,2.0,10.0,16.0,0.2,0.8651,0.839,0.3275,0.3538,0.8672877005840997,0.8390146089945575,234.0
3.0,3.0,10.0,16.0,0.2,0.8611,0.8576,0.3277,0.3292,0.8652430534768791,0.8576339157834432,238.9
3.0,1.0,10.0,16.0,0.3,0.5739,0.6271,0.6769,0.6511,0.7851692210283264,0.627147766323024,265.47
3.0,2.0,10.0,16.0,0.3,0.8658,0.8284,0.3264,0.3767,0.8588423276056626,0.8284159266685763,268.65
3.0,3.0,10.0,16.0,0.3,0.8262,0.8379,0.3922,0.365,0.8548380660770688,0.8378688054998568,290.19
3.0,1.0,10.0,16.0,0.5,0.8569,0.825,0.3428,0.3778,0.8636980541393818,0.8250286368843069,255.51
3.0,2.0,10.0,16.0,0.5,0.8525,0.8462,0.3537,0.3412,0.8551179165366982,0.8461758808364366,239.42
3.0,3.0,10.0,16.0,0.5,0.8526,0.8528,0.3473,0.3298,0.8702799661156757,0.8527642509309653,280.64
3.0,1.0,10.0,32.0,0.2,0.8409,0.8247,0.3681,0.3921,0.8620109064102389,0.8247422680412371,191.29
3.0,2.0,10.0,32.0,0.2,0.8398,0.835,0.3696,0.3596,0.8513472827900991,0.8350042967631052,184.3
3.0,3.0,10.0,32.0,0.2,0.8478,0.8488,0.3508,0.3335,0.8568244843466839,0.848753938699513,176.88
3.0,1.0,10.0,32.0,0.3,0.8561,0.827,0.3468,0.3905,0.8629528505285462,0.827033218785796,170.72
3.0,2.0,10.0,32.0,0.3,0.8544,0.8585,0.3456,0.3276,0.8634212560745197,0.8584932684044686,173.18
3.0,3.0,10.0,32.0,0.3,0.8428,0.8244,0.3578,0.3693,0.8554592198894796,0.824405614437124,180.68
3.0,1.0,10.0,32.0,0.5,0.8395,0.825,0.3664,0.3762,0.8668620930548541,0.8250286368843069,175.12
3.0,2.0,10.0,32.0,0.5,0.8394,0.8281,0.3621,0.3691,0.8485447016075996,0.8281294757949011,170.72
3.0,3.0,10.0,32.0,0.5,0.8419,0.8399,0.362,0.3502,0.8611227522614171,0.8398739616155829,171.78
3.0,1.0,10.0,64.0,0.2,0.5325,0.4779,0.6895,0.6947,0.7366169613873264,0.4779495990836197,162.84
3.0,2.0,10.0,64.0,0.2,0.8405,0.8339,0.367,0.3599,0.8422069172655441,0.8338584932684044,162.07
3.0,3.0,10.0,64.0,0.2,0.8129,0.8052,0.4163,0.42,0.8332745164067465,0.805213405900888,172.76
3.0,1.0,10.0,64.0,0.3,0.8217,0.8299,0.4004,0.3637,0.8429208278418321,0.8298969072164949,172.54
3.0,2.0,10.0,64.0,0.3,0.8275,0.8144,0.391,0.3973,0.8398887407783749,0.8143798338584932,164.23
3.0,3.0,10.0,64.0,0.3,0.8266,0.8235,0.393,0.3813,0.8486847738923395,0.8235462618160986,151.39
3.0,1.0,10.0,64.0,0.5,0.8285,0.805,0.3899,0.3935,0.8541011585861712,0.8049828178694158,170.6
3.0,2.0,10.0,64.0,0.5,0.8103,0.776,0.4315,0.4614,0.822846629203631,0.7759954167860212,155.86
3.0,3.0,10.0,64.0,0.5,0.7894,0.7605,0.4584,0.4819,0.8208625639779653,0.7605270696075623,159.88
3.0,1.0,20.0,16.0,0.2,0.8802,0.8548,0.2839,0.3439,0.8821037801747121,0.8548109965635738,540.72
3.0,2.0,20.0,16.0,0.2,0.8852,0.8522,0.2828,0.3326,0.8738637312938831,0.852191349183615,537.65
3.0,3.0,20.0,16.0,0.2,0.8843,0.8562,0.2758,0.3294,0.8783324038502887,0.8562016614150673,611.36
3.0,1.0,20.0,16.0,0.3,0.8749,0.8517,0.2868,0.3503,0.8798801835501415,0.8516609392898052,538.73
3.0,2.0,20.0,16.0,0.3,0.885,0.8513,0.2757,0.331,0.8701453185799295,0.8513319965625895,532.11
3.0,3.0,20.0,16.0,0.3,0.8386,0.8227,0.3732,0.4241,0.8469020521731753,0.822686909195073,544.14
3.0,1.0,20.0,16.0,0.5,0.8781,0.8545,0.2862,0.338,0.8799283632232028,0.854524627720504,568.54
3.0,2.0,20.0,16.0,0.5,0.8769,0.8482,0.2951,0.3395,0.8687957119361143,0.8481810369521627,561.75
3.0,3.0,20.0,16.0,0.5,0.875,0.8545,0.2912,0.3325,0.881453411869027,0.8544829561730163,520.8
3.0,1.0,20.0,32.0,0.2,0.8706,0.8577,0.3105,0.3151,0.8758518331151482,0.8576746849942726,366.77
3.0,2.0,20.0,32.0,0.2,0.8751,0.8467,0.3074,0.3475,0.868128312663498,0.8467487825837868,362.12
3.0,3.0,20.0,32.0,0.2,0.8663,0.8316,0.3141,0.3675,0.8612867181726354,0.8315668862790031,351.22
3.0,1.0,20.0,32.0,0.3,0.8659,0.8439,0.3135,0.3424,0.8615036659659363,0.8439289805269187,358.45
3.0,2.0,20.0,32.0,0.3,0.8721,0.8416,0.3111,0.358,0.868744468826598,0.8415926668576339,344.82
3.0,3.0,20.0,32.0,0.3,0.8683,0.8639,0.308,0.3152,0.8789198588877859,0.8639358350042967,344.74
3.0,1.0,20.0,32.0,0.5,0.8608,0.8614,0.3299,0.3308,0.88068910722388,0.861397479954181,358.84
3.0,2.0,20.0,32.0,0.5,0.8686,0.8433,0.3162,0.3393,0.8605364911810429,0.8433113720996849,352.53
