K,Fold,Epoch,Batch,Dropout,Confusion_Flat
3,1,10,16,0.2,"[[1951, 483], [85, 973]]"
3,2,10,16,0.2,"[[1937, 496], [399, 659]]"
3,3,10,16,0.2,"[[2143, 290], [227, 831]]"
3,1,10,16,0.3,"[[1974, 460], [129, 929]]"
3,2,10,16,0.3,"[[2166, 267], [271, 787]]"
3,3,10,16,0.3,"[[1997, 436], [124, 934]]"
3,1,10,16,0.5,"[[1961, 473], [152, 906]]"
3,2,10,16,0.5,"[[2012, 421], [157, 901]]"
3,3,10,16,0.5,"[[1318, 1115], [235, 823]]"
3,1,10,32,0.2,"[[1999, 435], [119, 939]]"
3,2,10,32,0.2,"[[1967, 466], [145, 913]]"
3,3,10,32,0.2,"[[2027, 406], [152, 906]]"
3,1,10,32,0.3,"[[1935, 499], [90, 968]]"
3,2,10,32,0.3,"[[1942, 491], [138, 920]]"
3,3,10,32,0.3,"[[1933, 500], [125, 933]]"
3,1,10,32,0.5,"[[2032, 402], [150, 908]]"
3,2,10,32,0.5,"[[2128, 305], [216, 842]]"
3,3,10,32,0.5,"[[1925, 508], [112, 946]]"
3,1,10,64,0.2,"[[2052, 382], [163, 895]]"
3,2,10,64,0.2,"[[1866, 567], [169, 889]]"
3,3,10,64,0.2,"[[1926, 507], [211, 847]]"
3,1,10,64,0.3,"[[1549, 885], [76, 982]]"
3,2,10,64,0.3,"[[1905, 528], [144, 914]]"
3,3,10,64,0.3,"[[1879, 554], [169, 889]]"
3,1,10,64,0.5,"[[2434, 0], [1058, 0]]"
3,2,10,64,0.5,"[[1889, 544], [144, 914]]"
3,3,10,64,0.5,"[[2064, 369], [332, 726]]"
3,1,20,16,0.2,"[[1987, 447], [67, 991]]"
3,2,20,16,0.2,"[[2154, 279], [198, 860]]"
3,3,20,16,0.2,"[[1999, 434], [95, 963]]"
3,1,20,16,0.3,"[[1999, 435], [110, 948]]"
3,2,20,16,0.3,"[[2151, 282], [193, 865]]"
3,3,20,16,0.3,"[[2094, 339], [145, 913]]"
3,1,20,16,0.5,"[[2047, 387], [94, 964]]"
3,2,20,16,0.5,"[[2120, 313], [171, 887]]"
3,3,20,16,0.5,"[[1822, 611], [87, 971]]"
3,1,20,32,0.2,"[[1784, 650], [54, 1004]]"
